#x    y    fieldX  fieldY
-14.1   -2.9    0.34    0.0699  
-14.1   -2.85   0.341   0.0688  
-14.1   -2.8    0.341   0.0678  
-14.1   2.8     0.341   -0.0678 
-14.1   2.85    0.341   -0.0688 
-14.1   2.9     0.34    -0.0699 
-14     -3.1    0.339   0.0748  
-14     -3.05   0.34    0.0738  
-14     -3      0.341   0.0727  
-14     3       0.341   -0.0727 
-14     3.05    0.34    -0.0738 
-14     3.1     0.339   -0.0748 
-14     -3.3    0.338   0.0797  
-14     -3.25   0.339   0.0787  
-14     3.25    0.339   -0.0787 
-14     3.3     0.338   -0.0797 
-13.9   -3.55   0.336   0.0856  
-13.9   -3.5    0.337   0.0846  
-13.9   -3.45   0.338   0.0836  
-13.9   3.45    0.338   -0.0836 
-13.9   3.5     0.337   -0.0846 
-13.9   3.55    0.336   -0.0856 
-13.9   -3.7    0.336   0.0894  
-13.9   -3.65   0.337   0.0884  
-13.9   3.65    0.337   -0.0884 
-13.9   3.7     0.336   -0.0894 
-13.8   -3.9    0.334   0.0941  
-13.8   -3.85   0.335   0.0932  
-13.8   3.85    0.335   -0.0932 
-13.8   3.9     0.334   -0.0941 
-13.8   -4.05   0.334   0.0979  
-13.8   -4      0.335   0.097   
-13.8   4       0.335   -0.097  
-13.8   4.05    0.334   -0.0979 
-13.7   -4.25   0.332   0.103   
-13.7   -4.2    0.333   0.102   
-13.7   4.2     0.333   -0.102  
-13.7   4.25    0.332   -0.103  
-13.7   -4.4    0.331   0.106   
-13.7   -4.35   0.332   0.105   
-13.7   4.35    0.332   -0.105  
-13.7   4.4     0.331   -0.106  
-13.6   -4.55   0.329   0.11    
-13.6   -4.5    0.331   0.109   
-13.6   4.5     0.331   -0.109  
-13.6   4.55    0.329   -0.11   
-13.6   -4.7    0.328   0.113   
-13.6   -4.65   0.329   0.113   
-13.6   4.65    0.329   -0.113  
-13.6   4.7     0.328   -0.113  
-13.5   -4.85   0.327   0.117   
-13.5   -4.8    0.328   0.116   
-13.5   4.8     0.328   -0.116  
-13.5   4.85    0.327   -0.117  
-13.5   -4.95   0.327   0.12    
-13.5   4.95    0.327   -0.12   
-13.4   -5.1    0.325   0.123   
-13.4   -5.05   0.326   0.122   
-13.4   5.05    0.326   -0.122  
-13.4   5.1     0.325   -0.123  
-13.4   -5.25   0.323   0.127   
-13.4   -5.2    0.324   0.126   
-13.4   5.2     0.324   -0.126  
-13.4   5.25    0.323   -0.127  
-13.3   -5.35   0.323   0.129   
-13.3   5.35    0.323   -0.129  
-13.3   -5.5    0.321   0.133   
-13.3   -5.45   0.322   0.132   
-13.3   5.45    0.322   -0.132  
-13.3   5.5     0.321   -0.133  
-13.2   -5.6    0.32    0.135   
-13.2   5.6     0.32    -0.135  
-13.2   -5.7    0.319   0.138   
-13.2   5.7     0.319   -0.138  
-13.1   -5.85   0.317   0.141   
-13.1   -5.8    0.318   0.14    
-13.1   5.8     0.318   -0.14   
-13.1   5.85    0.317   -0.141  
-13.1   -5.95   0.316   0.144   
-13.1   -5.9    0.318   0.143   
-13.1   5.9     0.318   -0.143  
-13.1   5.95    0.316   -0.144  
-13     -6.05   0.315   0.146   
-13     6.05    0.315   -0.146  
-13     -6.15   0.314   0.149   
-13     6.15    0.314   -0.149  
-12.9   -6.25   0.313   0.151   
-12.9   6.25    0.313   -0.151  
-12.9   -6.35   0.312   0.154   
-12.9   6.35    0.312   -0.154  
-12.8   -6.45   0.311   0.156   
-12.8   6.45    0.311   -0.156  
-12.8   -6.55   0.31    0.158   
-12.8   6.55    0.31    -0.158  
-12.7   -6.65   0.308   0.161   
-12.7   6.65    0.308   -0.161  
-12.7   -6.75   0.307   0.163   
-12.7   6.75    0.307   -0.163  
-12.6   -6.85   0.306   0.165   
-12.6   6.85    0.306   -0.165  
-12.6   -6.95   0.304   0.168   
-12.6   6.95    0.304   -0.168  
-12.5   -7.05   0.303   0.17    
-12.5   -7      0.304   0.17    
-12.5   7       0.304   -0.17   
-12.5   7.05    0.303   -0.17   
-12.5   -7.1    0.303   0.172   
-12.5   7.1     0.303   -0.172  
-12.4   -7.2    0.301   0.174   
-12.4   7.2     0.301   -0.174  
-12.4   -7.3    0.299   0.176   
-12.4   7.3     0.299   -0.176  
-12.3   -7.35   0.299   0.178   
-12.3   7.35    0.299   -0.178  
-12.3   -7.45   0.297   0.18    
-12.3   7.45    0.297   -0.18   
-12.2   -7.55   0.296   0.182   
-12.2   7.55    0.296   -0.182  
-12.2   -7.6    0.295   0.184   
-12.2   7.6     0.295   -0.184  
-12.1   -7.7    0.294   0.186   
-12.1   7.7     0.294   -0.186  
-12.1   -7.75   0.293   0.188   
-12.1   7.75    0.293   -0.188  
-12     -7.85   0.291   0.19    
-12     7.85    0.291   -0.19   
-12     -7.95   0.289   0.192   
-12     -7.9    0.291   0.192   
-12     7.9     0.291   -0.192  
-12     7.95    0.289   -0.192  
-11.9   -8      0.289   0.193   
-11.9   8       0.289   -0.193  
-11.9   -8.1    0.287   0.195   
-11.9   -8.05   0.289   0.195   
-11.9   8.05    0.289   -0.195  
-11.9   8.1     0.287   -0.195  
-11.8   -8.15   0.286   0.197   
-11.8   8.15    0.286   -0.197  
-11.8   -8.2    0.286   0.199   
-11.8   8.2     0.286   -0.199  
-11.7   -8.3    0.284   0.2     
-11.7   8.3     0.284   -0.2    
-11.7   -8.35   0.283   0.202   
-11.7   8.35    0.283   -0.202  
-11.6   -8.45   0.281   0.204   
-11.6   8.45    0.281   -0.204  
-11.6   -8.5    0.28    0.206   
-11.6   8.5     0.28    -0.206  
-11.5   -8.55   0.28    0.207   
-11.5   8.55    0.28    -0.207  
-11.5   -8.65   0.278   0.209   
-11.5   8.65    0.278   -0.209  
-11.4   -8.7    0.277   0.21    
-11.4   8.7     0.277   -0.21   
-11.4   -8.75   0.276   0.212   
-11.4   8.75    0.276   -0.212  
-11.3   -8.85   0.274   0.213   
-11.3   8.85    0.274   -0.213  
-11.3   -8.9    0.273   0.215   
-11.3   8.9     0.273   -0.215  
-11.2   -8.95   0.272   0.217   
-11.2   8.95    0.272   -0.217  
-11.2   -9      0.272   0.218   
-11.2   9       0.272   -0.218  
-11.1   -9.1    0.269   0.219   
-11.1   9.1     0.269   -0.219  
-11.1   -9.15   0.268   0.221   
-11.1   9.15    0.268   -0.221  
-11     -9.2    0.267   0.223   
-11     9.2     0.267   -0.223  
-11     -9.25   0.266   0.224   
-11     9.25    0.266   -0.224  
-10.9   -9.4    0.263   0.227   
-10.9   9.4     0.263   -0.227  
-10.8   -9.45   0.262   0.228   
-10.8   9.45    0.262   -0.228  
-10.8   -9.5    0.261   0.23    
-10.8   9.5     0.261   -0.23   
-10.7   -9.55   0.26    0.231   
-10.7   9.55    0.26    -0.231  
-10.7   -9.6    0.259   0.232   
-10.7   9.6     0.259   -0.232  
-10.6   -9.65   0.258   0.234   
-10.6   9.65    0.258   -0.234  
-10.6   -9.7    0.257   0.235   
-10.6   9.7     0.257   -0.235  
-10.4   -9.9    0.252   0.239   
-10.4   9.9     0.252   -0.239  
-10.4   -9.95   0.251   0.24    
-10.4   9.95    0.251   -0.24   
-10.3   -10     0.25    0.241   
-10.3   10      0.25    -0.241  
-10.3   -10     0.249   0.242   
-10.3   10.1    0.249   -0.242  
-10.2   -10.1   0.247   0.244   
-10.2   10.1    0.247   -0.244  
-10.2   -10.1   0.246   0.245   
-10.2   10.2    0.246   -0.245  
-10.1   -10.2   0.245   0.246   
-10.1   10.2    0.245   -0.246  
-10.1   -10.2   0.244   0.247   
-10.1   10.3    0.244   -0.247  
-10     -10.3   0.242   0.249   
-10     10.3    0.242   -0.249  
-10     -10.3   0.241   0.25    
-10     10.4    0.241   -0.25   
-9.95   -10.4   0.24    0.251   
-9.95   10.4    0.24    -0.251  
-9.9    -10.4   0.239   0.252   
-9.9    10.5    0.239   -0.252  
-9.7    -10.6   0.235   0.257   
-9.7    10.6    0.235   -0.257  
-9.65   -10.6   0.234   0.258   
-9.65   10.7    0.234   -0.258  
-9.6    -10.7   0.232   0.259   
-9.6    10.7    0.232   -0.259  
-9.55   -10.7   0.231   0.26    
-9.55   10.8    0.231   -0.26   
-9.5    -10.8   0.23    0.261   
-9.5    10.8    0.23    -0.261  
-9.45   -10.8   0.228   0.262   
-9.45   10.9    0.228   -0.262  
-9.4    -10.9   0.227   0.263   
-9.4    10.9    0.227   -0.263  
-9.25   -11     0.224   0.266   
-9.25   11      0.224   -0.266  
-9.2    -11     0.223   0.267   
-9.2    11.1    0.223   -0.267  
-9.15   -11.1   0.221   0.268   
-9.15   11.1    0.221   -0.268  
-9.1    -11.1   0.219   0.269   
-9.1    11.2    0.219   -0.269  
-9      -11.2   0.218   0.272   
-9      11.2    0.218   -0.272  
-8.95   -11.2   0.217   0.272   
-8.95   11.3    0.217   -0.272  
-8.9    -11.3   0.215   0.273   
-8.9    11.3    0.215   -0.273  
-8.85   -11.3   0.213   0.274   
-8.85   11.4    0.213   -0.274  
-8.75   -11.4   0.212   0.276   
-8.75   11.4    0.212   -0.276  
-8.7    -11.4   0.21    0.277   
-8.7    11.5    0.21    -0.277  
-8.65   -11.5   0.209   0.278   
-8.65   11.5    0.209   -0.278  
-8.55   -11.5   0.207   0.28    
-8.55   11.6    0.207   -0.28   
-8.5    -11.6   0.206   0.28    
-8.5    11.6    0.206   -0.28   
-8.45   -11.6   0.204   0.281   
-8.45   11.7    0.204   -0.281  
-8.35   -11.7   0.202   0.283   
-8.35   11.7    0.202   -0.283  
-8.3    -11.7   0.2     0.284   
-8.3    11.8    0.2     -0.284  
-8.2    -11.8   0.199   0.286   
-8.2    11.8    0.199   -0.286  
-8.15   -11.8   0.197   0.286   
-8.15   11.9    0.197   -0.286  
-8.1    -11.9   0.195   0.287   
-8.1    11.9    0.195   -0.287  
-8.05   -11.9   0.195   0.289   
-8.05   11.9    0.195   -0.289  
-8      -11.9   0.193   0.289   
-8      12      0.193   -0.289  
-7.95   -12     0.192   0.289   
-7.95   12      0.192   -0.289  
-7.9    -12     0.192   0.291   
-7.9    12      0.192   -0.291  
-7.85   -12     0.19    0.291   
-7.85   12.1    0.19    -0.291  
-7.75   -12.1   0.188   0.293   
-7.75   12.1    0.188   -0.293  
-7.7    -12.1   0.186   0.294   
-7.7    12.2    0.186   -0.294  
-7.6    -12.2   0.184   0.295   
-7.6    12.2    0.184   -0.295  
-7.55   -12.2   0.182   0.296   
-7.55   12.3    0.182   -0.296  
-7.45   -12.3   0.18    0.297   
-7.45   12.3    0.18    -0.297  
-7.35   -12.3   0.178   0.299   
-7.35   12.4    0.178   -0.299  
-7.3    -12.4   0.176   0.299   
-7.3    12.4    0.176   -0.299  
-7.2    -12.4   0.174   0.301   
-7.2    12.5    0.174   -0.301  
-7.15   -0.75   1.38    0.145   
-7.15   0.75    1.38    -0.145  
-7.1    -12.5   0.172   0.303   
-7.1    -1.15   1.37    0.222   
-7.1    1.15    1.37    -0.222  
-7.1    12.5    0.172   -0.303  
-7.05   -12.5   0.17    0.303   
-7.05   -1.4    1.37    0.271   
-7.05   1.4     1.37    -0.271  
-7.05   12.6    0.17    -0.303  
-7      -12.5   0.17    0.304   
-7      -1.65   1.35    0.319   
-7      1.65    1.35    -0.319  
-7      12.6    0.17    -0.304  
-6.95   -12.6   0.168   0.304   
-6.95   -1.85   1.34    0.358   
-6.95   1.85    1.34    -0.358  
-6.95   12.6    0.168   -0.304  
-6.85   -12.6   0.165   0.306   
-6.85   12.7    0.165   -0.306  
-6.75   -12.7   0.163   0.307   
-6.75   12.7    0.163   -0.307  
-6.65   -12.7   0.161   0.308   
-6.65   12.8    0.161   -0.308  
-6.6    -2.85   1.28    0.552   
-6.6    2.85    1.28    -0.552  
-6.55   -12.8   0.158   0.31    
-6.55   12.8    0.158   -0.31   
-6.45   -12.8   0.156   0.311   
-6.45   12.9    0.156   -0.311  
-6.35   -12.9   0.154   0.312   
-6.35   12.9    0.154   -0.312  
-6.25   -12.9   0.151   0.313   
-6.25   -3.55   1.21    0.687   
-6.25   3.55    1.21    -0.687  
-6.25   13      0.151   -0.313  
-6.15   -13     0.149   0.314   
-6.15   13      0.149   -0.314  
-6.05   -13     0.146   0.315   
-6.05   13.1    0.146   -0.315  
-5.95   -13.1   0.144   0.316   
-5.95   13.1    0.144   -0.316  
-5.9    -13.1   0.143   0.318   
-5.9    13.1    0.143   -0.318  
-5.85   -13.1   0.141   0.317   
-5.85   13.2    0.141   -0.317  
-5.8    -13.1   0.14    0.318   
-5.8    -4.25   1.12    0.822   
-5.8    4.25    1.12    -0.822  
-5.8    13.2    0.14    -0.318  
-5.7    -13.2   0.138   0.319   
-5.7    13.2    0.138   -0.319  
-5.65   -4.45   1.09    0.86    
-5.65   4.45    1.09    -0.86   
-5.6    -13.2   0.135   0.32    
-5.6    13.3    0.135   -0.32   
-5.5    -13.3   0.133   0.321   
-5.5    13.3    0.133   -0.321  
-5.45   -13.3   0.132   0.322   
-5.45   13.3    0.132   -0.322  
-5.4    -4.75   1.04    0.918   
-5.4    4.75    1.04    -0.918  
-5.35   -13.3   0.129   0.323   
-5.35   -4.8    1.04    0.929   
-5.35   4.8     1.04    -0.929  
-5.35   13.4    0.129   -0.323  
-5.25   -13.4   0.127   0.323   
-5.25   13.4    0.127   -0.323  
-5.2    -13.4   0.126   0.324   
-5.2    13.4    0.126   -0.324  
-5.1    -13.4   0.123   0.325   
-5.1    13.5    0.123   -0.325  
-5.05   -13.4   0.122   0.326   
-5.05   13.5    0.122   -0.326  
-4.95   -13.5   0.12    0.327   
-4.95   13.5    0.12    -0.327  
-4.85   -13.5   0.117   0.327   
-4.85   13.6    0.117   -0.327  
-4.8    -13.5   0.116   0.328   
-4.8    -5.35   0.929   1.04    
-4.8    5.35    0.929   -1.04   
-4.8    13.6    0.116   -0.328  
-4.75   -5.4    0.918   1.04    
-4.75   -0.65   3.1     0.424   
-4.75   0.65    3.1     -0.424  
-4.75   5.4     0.918   -1.04   
-4.7    -13.6   0.113   0.328   
-4.7    -0.95   3.07    0.62    
-4.7    0.95    3.07    -0.62   
-4.7    13.6    0.113   -0.328  
-4.65   -13.6   0.113   0.329   
-4.65   13.6    0.113   -0.329  
-4.6    -1.35   3       0.881   
-4.6    1.35    3       -0.881  
-4.55   -13.6   0.11    0.329   
-4.55   13.7    0.11    -0.329  
-4.5    -13.6   0.109   0.331   
-4.5    -1.65   2.94    1.08    
-4.5    1.65    2.94    -1.08   
-4.5    13.7    0.109   -0.331  
-4.45   -5.65   0.86    1.09    
-4.45   5.65    0.86    -1.09   
-4.4    -13.7   0.106   0.331   
-4.4    -1.9    2.87    1.24    
-4.4    1.9     2.87    -1.24   
-4.4    13.7    0.106   -0.331  
-4.35   -13.7   0.105   0.332   
-4.35   13.7    0.105   -0.332  
-4.25   -13.7   0.103   0.332   
-4.25   -5.8    0.822   1.12    
-4.25   5.8     0.822   -1.12   
-4.25   13.8    0.103   -0.332  
-4.2    -13.7   0.102   0.333   
-4.2    13.8    0.102   -0.333  
-4.15   -2.4    2.71    1.57    
-4.15   2.4     2.71    -1.57   
-4.05   -13.8   0.0979  0.334   
-4.05   13.8    0.0979  -0.334  
-4      -13.8   0.097   0.335   
-4      13.8    0.097   -0.335  
-3.9    -13.8   0.0941  0.334   
-3.9    13.9    0.0941  -0.334  
-3.85   -13.8   0.0932  0.335   
-3.85   13.9    0.0932  -0.335  
-3.7    -13.9   0.0894  0.336   
-3.7    -3.05   2.41    1.99    
-3.7    3.05    2.41    -1.99   
-3.7    13.9    0.0894  -0.336  
-3.65   -13.9   0.0884  0.337   
-3.65   13.9    0.0884  -0.337  
-3.55   -13.9   0.0856  0.336   
-3.55   -6.25   0.687   1.21    
-3.55   6.25    0.687   -1.21   
-3.55   14      0.0856  -0.336  
-3.5    -13.9   0.0846  0.337   
-3.5    14      0.0846  -0.337  
-3.45   -13.9   0.0836  0.338   
-3.45   14      0.0836  -0.338  
-3.3    -14     0.0797  0.338   
-3.3    14      0.0797  -0.338  
-3.25   -14     0.0787  0.339   
-3.25   14      0.0787  -0.339  
-3.1    -14     0.0748  0.339   
-3.1    14.1    0.0748  -0.339  
-3.05   -14     0.0738  0.34    
-3.05   -3.7    1.99    2.41    
-3.05   3.7     1.99    -2.41   
-3.05   14.1    0.0738  -0.34   
-3      -14     0.0727  0.341   
-3      14.1    0.0727  -0.341  
-2.9    -14.1   0.0699  0.34    
-2.9    14.1    0.0699  -0.34   
-2.85   -14.1   0.0688  0.341   
-2.85   -6.6    0.552   1.28    
-2.85   6.6     0.552   -1.28   
-2.85   14.1    0.0688  -0.341  
-2.8    -14.1   0.0678  0.341   
-2.8    14.1    0.0678  -0.341  
-2.6    -14.1   0.0628  0.342   
-2.6    14.2    0.0628  -0.342  
-2.55   -14.1   0.0617  0.342   
-2.55   14.2    0.0617  -0.342  
-2.5    -14.1   0.0606  0.343   
-2.5    14.2    0.0606  -0.343  
-2.4    -4.15   1.57    2.71    
-2.4    4.15    1.57    -2.71   
-2.35   -14.2   0.0567  0.342   
-2.35   14.2    0.0567  -0.342  
-2.3    -14.2   0.0556  0.343   
-2.3    14.2    0.0556  -0.343  
-2.25   -14.2   0.0544  0.344   
-2.25   14.2    0.0544  -0.344  
-2.2    -14.2   0.0533  0.344   
-2.2    14.2    0.0533  -0.344  
-2      -14.2   0.0483  0.344   
-2      14.3    0.0483  -0.344  
-1.95   -14.2   0.0471  0.344   
-1.95   14.3    0.0471  -0.344  
-1.9    -14.2   0.046   0.345   
-1.9    -4.4    1.24    2.87    
-1.9    4.4     1.24    -2.87   
-1.9    14.3    0.046   -0.345  
-1.85   -14.2   0.0448  0.345   
-1.85   -6.95   0.358   1.34    
-1.85   6.95    0.358   -1.34   
-1.85   14.3    0.0448  -0.345  
-1.65   -14.3   0.0398  0.345   
-1.65   -7      0.319   1.35    
-1.65   -4.5    1.08    2.94    
-1.65   4.5     1.08    -2.94   
-1.65   7       0.319   -1.35   
-1.65   14.3    0.0398  -0.345  
-1.6    -14.3   0.0386  0.345   
-1.6    14.3    0.0386  -0.345  
-1.55   -14.3   0.0375  0.346   
-1.55   14.3    0.0375  -0.346  
-1.5    -14.3   0.0363  0.346   
-1.5    14.3    0.0363  -0.346  
-1.45   -14.3   0.0351  0.346   
-1.45   14.3    0.0351  -0.346  
-1.4    -14.3   0.0339  0.347   
-1.4    -7.05   0.271   1.37    
-1.4    7.05    0.271   -1.37   
-1.4    14.3    0.0339  -0.347  
-1.35   -4.6    0.881   3       
-1.35   4.6     0.881   -3      
-1.15   -7.1    0.222   1.37    
-1.15   7.1     0.222   -1.37   
-1.1    -14.3   0.0265  0.346   
-1.1    14.4    0.0265  -0.346  
-1.05   -14.3   0.0253  0.346   
-1.05   14.4    0.0253  -0.346  
-1      -14.3   0.0242  0.347   
-1      14.4    0.0242  -0.347  
-0.95   -14.3   0.023   0.347   
-0.95   -4.7    0.62    3.07    
-0.95   4.7     0.62    -3.07   
-0.95   14.4    0.023   -0.347  
-0.9    -14.3   0.0218  0.347   
-0.9    14.4    0.0218  -0.347  
-0.85   -14.3   0.0206  0.347   
-0.85   14.4    0.0206  -0.347  
-0.8    -14.3   0.0194  0.348   
-0.8    14.4    0.0194  -0.348  
-0.75   -14.3   0.0182  0.348   
-0.75   -7.15   0.145   1.38    
-0.75   7.15    0.145   -1.38   
-0.75   14.4    0.0182  -0.348  
-0.7    -14.3   0.017   0.348   
-0.7    14.4    0.017   -0.348  
-0.65   -4.75   0.424   3.1     
-0.65   4.75    0.424   -3.1    
0.65    -4.75   -0.424  3.1     
0.65    4.75    -0.424  -3.1    
0.7     -14.3   -0.017  0.348   
0.7     14.4    -0.017  -0.348  
0.75    -14.3   -0.0182 0.348   
0.75    -7.15   -0.145  1.38    
0.75    7.15    -0.145  -1.38   
0.75    14.4    -0.0182 -0.348  
0.8     -14.3   -0.0194 0.348   
0.8     14.4    -0.0194 -0.348  
0.85    -14.3   -0.0206 0.347   
0.85    14.4    -0.0206 -0.347  
0.9     -14.3   -0.0218 0.347   
0.9     14.4    -0.0218 -0.347  
0.95    -14.3   -0.023  0.347   
0.95    -4.7    -0.62   3.07    
0.95    4.7     -0.62   -3.07   
0.95    14.4    -0.023  -0.347  
1       -14.3   -0.0242 0.347   
1       14.4    -0.0242 -0.347  
1.05    -14.3   -0.0253 0.346   
1.05    14.4    -0.0253 -0.346  
1.1     -14.3   -0.0265 0.346   
1.1     14.4    -0.0265 -0.346  
1.15    -7.1    -0.222  1.37    
1.15    7.1     -0.222  -1.37   
1.35    -4.6    -0.881  3       
1.35    4.6     -0.881  -3      
1.4     -14.3   -0.0339 0.347   
1.4     -7.05   -0.271  1.37    
1.4     7.05    -0.271  -1.37   
1.4     14.3    -0.0339 -0.347  
1.45    -14.3   -0.0351 0.346   
1.45    14.3    -0.0351 -0.346  
1.5     -14.3   -0.0363 0.346   
1.5     14.3    -0.0363 -0.346  
1.55    -14.3   -0.0375 0.346   
1.55    14.3    -0.0375 -0.346  
1.6     -14.3   -0.0386 0.345   
1.6     14.3    -0.0386 -0.345  
1.65    -14.3   -0.0398 0.345   
1.65    -7      -0.319  1.35    
1.65    -4.5    -1.08   2.94    
1.65    4.5     -1.08   -2.94   
1.65    7       -0.319  -1.35   
1.65    14.3    -0.0398 -0.345  
1.85    -14.2   -0.0448 0.345   
1.85    -6.95   -0.358  1.34    
1.85    6.95    -0.358  -1.34   
1.85    14.3    -0.0448 -0.345  
1.9     -14.2   -0.046  0.345   
1.9     -4.4    -1.24   2.87    
1.9     4.4     -1.24   -2.87   
1.9     14.3    -0.046  -0.345  
1.95    -14.2   -0.0471 0.344   
1.95    14.3    -0.0471 -0.344  
2       -14.2   -0.0483 0.344   
2       14.3    -0.0483 -0.344  
2.2     -14.2   -0.0533 0.344   
2.2     14.2    -0.0533 -0.344  
2.25    -14.2   -0.0544 0.344   
2.25    14.2    -0.0544 -0.344  
2.3     -14.2   -0.0556 0.343   
2.3     14.2    -0.0556 -0.343  
2.35    -14.2   -0.0567 0.342   
2.35    14.2    -0.0567 -0.342  
2.4     -4.15   -1.57   2.71    
2.4     4.15    -1.57   -2.71   
2.5     -14.1   -0.0606 0.343   
2.5     14.2    -0.0606 -0.343  
2.55    -14.1   -0.0617 0.342   
2.55    14.2    -0.0617 -0.342  
2.6     -14.1   -0.0628 0.342   
2.6     14.2    -0.0628 -0.342  
2.8     -14.1   -0.0678 0.341   
2.8     14.1    -0.0678 -0.341  
2.85    -14.1   -0.0688 0.341   
2.85    -6.6    -0.552  1.28    
2.85    6.6     -0.552  -1.28   
2.85    14.1    -0.0688 -0.341  
2.9     -14.1   -0.0699 0.34    
2.9     14.1    -0.0699 -0.34   
3       -14     -0.0727 0.341   
3       14.1    -0.0727 -0.341  
3.05    -14     -0.0738 0.34    
3.05    -3.7    -1.99   2.41    
3.05    3.7     -1.99   -2.41   
3.05    14.1    -0.0738 -0.34   
3.1     -14     -0.0748 0.339   
3.1     14.1    -0.0748 -0.339  
3.25    -14     -0.0787 0.339   
3.25    14      -0.0787 -0.339  
3.3     -14     -0.0797 0.338   
3.3     14      -0.0797 -0.338  
3.45    -13.9   -0.0836 0.338   
3.45    14      -0.0836 -0.338  
3.5     -13.9   -0.0846 0.337   
3.5     14      -0.0846 -0.337  
3.55    -13.9   -0.0856 0.336   
3.55    -6.25   -0.687  1.21    
3.55    6.25    -0.687  -1.21   
3.55    14      -0.0856 -0.336  
3.65    -13.9   -0.0884 0.337   
3.65    13.9    -0.0884 -0.337  
3.7     -13.9   -0.0894 0.336   
3.7     -3.05   -2.41   1.99    
3.7     3.05    -2.41   -1.99   
3.7     13.9    -0.0894 -0.336  
3.85    -13.8   -0.0932 0.335   
3.85    13.9    -0.0932 -0.335  
3.9     -13.8   -0.0941 0.334   
3.9     13.9    -0.0941 -0.334  
4       -13.8   -0.097  0.335   
4       13.8    -0.097  -0.335  
4.05    -13.8   -0.0979 0.334   
4.05    13.8    -0.0979 -0.334  
4.15    -2.4    -2.71   1.57    
4.15    2.4     -2.71   -1.57   
4.2     -13.7   -0.102  0.333   
4.2     13.8    -0.102  -0.333  
4.25    -13.7   -0.103  0.332   
4.25    -5.8    -0.822  1.12    
4.25    5.8     -0.822  -1.12   
4.25    13.8    -0.103  -0.332  
4.35    -13.7   -0.105  0.332   
4.35    13.7    -0.105  -0.332  
4.4     -13.7   -0.106  0.331   
4.4     -1.9    -2.87   1.24    
4.4     1.9     -2.87   -1.24   
4.4     13.7    -0.106  -0.331  
4.45    -5.65   -0.86   1.09    
4.45    5.65    -0.86   -1.09   
4.5     -13.6   -0.109  0.331   
4.5     -1.65   -2.94   1.08    
4.5     1.65    -2.94   -1.08   
4.5     13.7    -0.109  -0.331  
4.55    -13.6   -0.11   0.329   
4.55    13.7    -0.11   -0.329  
4.6     -1.35   -3      0.881   
4.6     1.35    -3      -0.881  
4.65    -13.6   -0.113  0.329   
4.65    13.6    -0.113  -0.329  
4.7     -13.6   -0.113  0.328   
4.7     -0.95   -3.07   0.62    
4.7     0.95    -3.07   -0.62   
4.7     13.6    -0.113  -0.328  
4.75    -5.4    -0.918  1.04    
4.75    -0.65   -3.1    0.424   
4.75    0.65    -3.1    -0.424  
4.75    5.4     -0.918  -1.04   
4.8     -13.5   -0.116  0.328   
4.8     -5.35   -0.929  1.04    
4.8     5.35    -0.929  -1.04   
4.8     13.6    -0.116  -0.328  
4.85    -13.5   -0.117  0.327   
4.85    13.6    -0.117  -0.327  
4.95    -13.5   -0.12   0.327   
4.95    13.5    -0.12   -0.327  
5.05    -13.4   -0.122  0.326   
5.05    13.5    -0.122  -0.326  
5.1     -13.4   -0.123  0.325   
5.1     13.5    -0.123  -0.325  
